rank,strategy,2025_trades,2025_profit_pct,2025_abs_profit,2025_wr,2024_trades,2024_profit_pct,2024_abs_profit,2024_wr,2026_trades,2026_profit_pct,2026_abs_profit,2026_wr,lookahead,oos_result,decision,category
1,LIB_STR045,56,+1.41,14.087,62.5%,37,-0.60,-5.989,43.2%,18,-0.16,-1.623,44.4%,No bias,collapsed negative,مرفوضة بعد OOS,مرفوضة
2,LIB_STR007,59,+1.33,13.289,61.0%,30,-0.51,-5.127,43.3%,18,-0.16,-1.626,44.4%,No bias,collapsed negative,مرفوضة بعد OOS,مرفوضة
3,BBMA_Engulfing_Riyadh_Strategy,17,+1.3,12.955,64.7%,8,-0.72,-7.156,25.0%,4,+0.07,0.736,50.0%,No bias,collapsed (tiny positive 2026 with 4 trades),مرفوضة بعد OOS,مرفوضة
4,LIB_STR013,67,+1.3,12.98,59.7%,28,-0.51,-5.131,39.3%,16,-0.17,-1.702,43.8%,No bias,collapsed negative,مرفوضة بعد OOS,مرفوضة
5,LIB_STR012,60,+1.25,12.534,61.7%,32,-0.72,-7.216,37.5%,17,-0.03,-0.29,47.1%,No bias,collapsed (near zero 2026),مرفوضة بعد OOS,مرفوضة
6,LIB_STR030,60,+1.2,11.984,60.0%,34,-0.95,-9.486,35.3%,14,-0.13,-1.341,42.9%,No bias,collapsed negative,مرفوضة بعد OOS,مرفوضة
7,LIB_STR005_EMA,56,+1.18,11.766,60.7%,33,-0.85,-8.484,36.4%,13,-0.02,-0.213,46.2%,No bias,collapsed negative,مرفوضة بعد OOS,مرفوضة
8,LIB_STR005,56,+1.18,11.766,60.7%,33,-0.85,-8.484,36.4%,13,-0.02,-0.213,46.2%,No bias,collapsed negative,مرفوضة بعد OOS,مرفوضة
9,LIB_STR003,55,+1.12,11.229,60.0%,20,-0.4,-3.991,40.0%,10,-0.2,-1.995,40.0%,No bias,collapsed negative,مرفوضة بعد OOS,مرفوضة
10,LIB_STR026,54,+1.08,10.764,61.1%,33,-0.85,-8.484,36.4%,16,-0.18,-1.803,43.8%,No bias,collapsed negative,مرفوضة بعد OOS,مرفوضة
