file,path,pine_version,is_strategy,is_indicator,has_request_security,has_pivothigh,has_pivotlow,has_manual_sr,has_long,has_short,has_strategy_entry,has_strategy_exit,conversion_category,convertibility_score
BBMA_Engulfing_Riyadh_Strategy_v6.pine,pine_strategies/BBMA_Engulfing_Riyadh_Strategy_v6.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
CRT_1AM_Strategy_V1_Pine_v6.pine,pine_strategies/CRT_1AM_Strategy_V1_Pine_v6.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
Dynamic_Swing_VWAP_TV_Match_2026_Filter.pine,pine_strategies/Dynamic_Swing_VWAP_TV_Match_2026_Filter.pine,6,True,False,False,False,False,True,True,True,True,False,C - تحتاج إعادة بناء,55
Dynamic_Swing_VWAP_TV_Match_2026_Filter_FIX.pine,pine_strategies/Dynamic_Swing_VWAP_TV_Match_2026_Filter_FIX.pine,6,True,False,False,False,False,True,True,True,True,False,C - تحتاج إعادة بناء,55
FAYEZ_1_AR_SETTINGS_FIXED_v2.pine,pine_strategies/FAYEZ_1_AR_SETTINGS_FIXED_v2.pine,6,True,False,True,True,True,False,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),60
ICT_SMC_CRT_ORB_Unified_v6.pine,pine_strategies/ICT_SMC_CRT_ORB_Unified_v6.pine,6,True,False,True,False,False,False,True,True,True,True,C - تحتاج إعادة بناء,50
ICT_Sniper_TV_Match_2025_FIXED.pine,pine_strategies/ICT_Sniper_TV_Match_2025_FIXED.pine,6,True,False,True,True,True,False,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),60
LIB-STR001.pine,pine_strategies/LIB-STR001.pine,6,True,False,False,False,False,True,True,True,True,True,C - تحتاج إعادة بناء,55
LIB-STR002.pine,pine_strategies/LIB-STR002.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR003.pine,pine_strategies/LIB-STR003.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR004.pine,pine_strategies/LIB-STR004.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR005.pine,pine_strategies/LIB-STR005.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR005_EMA_Structure_Engulfing_Manual_Test_v6.pine,pine_strategies/LIB-STR005_EMA_Structure_Engulfing_Manual_Test_v6.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR006.pine,pine_strategies/LIB-STR006.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR007.pine,pine_strategies/LIB-STR007.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
